ND-NOFO-24-100,Better Understanding of American Policy for Established Opinion Leaders,DOS-IND,Posted,2023-11-9,2000-1-1,1
CPAIG-2024-NG,FY24 Cultural Property Agreement Implementation Grants,DOS-NGA,Posted,2023-11-9,2024-1-11,2
FA8650-24-S-5210,Lab-to-Orbit: Accelerating the Development and Testing of Materials for Low Earth Orbit,DOD-AFRL,Posted,2023-11-9,2023-12-20,3
HRSA-24-099,National AETC Support Center,HHS-HRSA,Posted,2023-11-9,2024-2-7,4
DE-FOA-0003137,The purpose of this requisition is to initiate a Notice of Intent (NOI) for the 2023 Funding Opportunity Announcement (FOA) titled “WASTE: Waste Analysis and Strategies for Transportation End-uses” (DE-FOA-0003072).,DOE-GFO,Posted,2023-11-9,2023-12-15,5
RFA-DC-24-005,Cooperative Agreement for In Vivo High-Resolution Imaging for Inner Ear Visualization (U01 Clinical Trial Required),HHS-NIH11,Posted,2023-11-9,2025-2-3,6
RFA-DC-24-004,In Vivo High-Resolution Imaging for Inner Ear Visualization (R01 Clinical Trial optional),HHS-NIH11,Posted,2023-11-9,2025-2-3,7
SFOP0010120,Supporting Critical Open-Source Technologies That Enable a Free and Open Internet,DOS,Posted,2023-11-9,2024-1-11,8
N0001424SF001,FY25 Defense University Research Instrumentation Program (DURIP),DOD-ONR,Posted,2023-11-9,2024-2-16,9
DE-FOA-0003224,Inspiring Generations of New Innovators to Impact Technologies in Energy 2024 (IGNIITE 2024),DOE-ARPAE,Posted,2023-11-9,2024-1-5,10
W911NF24S0001,THE DEPARTMENT OF DEFENSE (DoD) FISCAL YEAR 2025 DEFENSE UNIVERSITY RESEARCH INSTRUMENTATION PROGRAM (DURIP),DOD-AMC,Posted,2023-11-9,2024-2-16,11
FOAAFRLAFOSR20240000,Fiscal Year 2025 Defense University Research Instrumentation Program (DURIP),DOD-AFOSR,Posted,2023-11-9,2024-2-16,12
AFNGR-24-02,AMBASSADORS FUND FOR CULTURAL PRESERVATION(AFCP) 2024,DOS-NGA,Posted,2023-11-9,2024-1-10,13
DE-FOA-0003164,SPURRING PROJECTS TO ADVANCE ENERGY RESEARCH AND KNOWLEDGE SWIFTLY (SPARKS),DOE-ARPAE,Posted,2023-11-9,2029-9-30,14
NGA-POLECON-GR-23-003-11092023,2024 Julia Taft Refugee Fund,DOS-NGA,Posted,2023-11-9,2023-12-15,15
72011524RFI00001,Request for Information (RFI) on USAID New Energy Activity in Central Asia,USAID-KAZ,Posted,2023-11-8,2023-12-12,16
24-506,International Research Experiences for Students,NSF,Posted,2023-11-8,2024-2-5,17
24-507,Incorporating Human Behavior in Epidemiological Models,NSF,Posted,2023-11-8,2024-2-14,18
72038824RFA00001,USAID’s Urban Health Activity,USAID-BAN,Posted,2023-11-8,2024-1-10,19
FR-6700-N-96,The Youth Homelessness System Improvement (YHSI) Grants,HUD,Posted,2023-11-8,2024-2-15,20
G24AS00163,Cooperative Agreement for CESU-affiliated Partner with Gulf Coast Cooperative Ecosystem Studies Unit,DOI-USGS1,Posted,2023-11-8,2023-12-8,21
G24AS00170,Cooperative Agreement for CESU-affiliated Partner With Chesapeake Bay Cooperative Ecosystem Studies Unit,DOI-USGS1,Posted,2023-11-8,2023-12-8,22
HHS-2024-ACF-OHS-HP-R2-0071,Early Head Start Expansion and Early Head Start-Child Care Partnership Grants - Brooklyn- Kings County- and the Bronx- New York,HHS-ACF-OHS,Forecasted,2023-11-8,2000-1-1,23
RFA-DA-25-029,National Drug Early Warning System Coordinating Center (U01 Clinical Trial Not Allowed),HHS-NIH11,Posted,2023-11-8,2024-3-20,24
F24AS00146,F24AS00146 - Asian Elephant Conservation Fund FY24,DOI-FWS,Posted,2023-11-8,2024-1-31,25
USDA-NIFA-ARPA-010473,Agriculture Risk Management Education Partnerships Competitive Grants Program,USDA-NIFA,Posted,2023-11-8,2024-1-15,26
NOAA-NMFS-SE-2024-2008255,Fiscal Year 2024 NOAA Gulf of Mexico Bay Watershed Education and Training (B-WET),DOC,Posted,2023-11-8,2024-2-5,27
RFA-DA-25-027,The National Drug Abuse Treatment Clinical Trials Network (UG1 Clinical Trial Required),HHS-NIH11,Posted,2023-11-8,2024-3-13,28
DE-FOA-0003166,CHALLENGES AND OPPORTUNITIES AT THE INTERFACE OF WIND ENERGY AND RADAR TECHNOLOGY,DOE-GFO,Posted,2023-11-8,2024-1-12,29
NOAA-NOS-ONMS-2024-2008257,2024 Pacific Northwest Bay Watershed Education and Training,DOC,Posted,2023-11-8,2024-2-1,30
PAR-23-286,NCI Pathway to Independence Award for Early-Stage Postdoctoral Researchers (K99/R00 - Independent Clinical Trial Not Allowed),HHS-NIH11,Posted,2023-11-8,2026-10-14,31
PAR-23-288,NCI Pathway to Independence Award for Early-Stage Postdoctoral Researchers (K99/R00 - Independent Basic Experimental Studies with Humans Required),HHS-NIH11,Posted,2023-11-8,2026-10-14,32
PAR-23-287,NCI Pathway to Independence Award for Early-Stage Postdoctoral Researchers (K99/R00 - Independent Clinical Trial Required),HHS-NIH11,Posted,2023-11-8,2026-10-14,33
FR-AMT-24-001,FY24 Northeast Corridor Cooperative Agreement to the National Railroad Passenger Corporation,DOT-FRA,Posted,2023-11-8,2023-11-16,34
FR-AMT-24-002,FY24 National Network Cooperative Agreement to the National Railroad Passenger Corporation,DOT-FRA,Posted,2023-11-8,2023-11-16,35
RFA-DA-24-036,Rural Community-Centered Drug Misuse Prevention and Harm Reduction Research: Addressing Implementation- Dissemination- and Equity Challenges across the Continuum of Care (R61/R33 Clinical Trial Only),HHS-NIH11,Posted,2023-11-8,2024-1-26,36
NOAA-NMFS-HCPO-2024-2008219,Fiscal Year 2024 Chesapeake B-WET Program - School District Programming,DOC,Posted,2023-11-7,2024-2-16,37
NOAA-NMFS-HCPO-2024-2008241,Fiscal Year 2024 Statewide K-12 Environmental Literacy Capacity Building,DOC,Posted,2023-11-7,2024-2-16,38
PDS-SWEDEN-2024-01,U.S. Mission Sweden PDS Annual Program Statement,DOS-SWE,Posted,2023-11-7,2024-9-15,39
AF-HAR-FY24-01,Academy for Women Entrepreneurs 2024,DOS-ZWE,Forecasted,2023-11-7,2000-1-1,40
PAS-002-FY2024,U.S. Embassy Prague: Campaign to Mark the 25th Anniversary of the Czech Republic Joining NATO,DOS-CZE,Posted,2023-11-7,2023-12-8,41
PAS-001-FY2024,U.S. Embassy Prague PAS Annual Program Statement,DOS-CZE,Posted,2023-11-7,2024-5-31,42
G24AS00157,Cooperative Agreement for CESU-affiliated Partner with Great Rivers Cooperative Ecosystem Studies Unit,DOI-USGS1,Posted,2023-11-7,2023-12-8,43
G24AS00156,Cooperative Agreement for CESU-affiliated Partner with Great Lakes National Forest Cooperative Ecosystem Studies Unit,DOI-USGS1,Posted,2023-11-7,2023-12-8,44
G24AS00155,Cooperative Agreement for CESU-affiliated Partner with Great Lakes – Northern Forest Cooperative Ecosystem Studies Unit,DOI-USGS1,Posted,2023-11-7,2023-12-8,45
HRSA-24-059,Regional AIDS Education and Training Centers,HHS-HRSA,Posted,2023-11-7,2024-2-5,46
DARPARA2401,Young Faculty Award (YFA) 2024,DOD-DARPA-DSO,Posted,2023-11-7,2024-2-22,47
HRSA-24-015,Nurse Faculty Loan Program (NFLP),HHS-HRSA,Posted,2023-11-7,2024-2-5,48
O-BJA-2024-171898,BJA FY24 Invited to Apply- Administrative Funding Adjustments to BJA Previously Funded Awards,USDOJ-OJP-BJA,Posted,2023-11-7,2023-11-16,49
O-BJA-2024-171896,BJA FY24 Invited to Apply- Emergency Federal Law Enforcement Assistance (EFLEA) Program,USDOJ-OJP-BJA,Posted,2023-11-7,2023-11-14,50
PAR-24-054,Limited Competition: High Impact Specialized Innovation Programs in Clinical and Translational Science for UM1 CTSA Hub Awards (RC2 Clinical Trials Optional),HHS-NIH11,Posted,2023-11-7,2026-9-14,51
L24AS00151,FY24 IIJA/IRA Bureau of Land Management Eastern States (ES) Wildlife Program,DOI-BLM,Posted,2023-11-7,2024-2-6,52
L24AS00152,FY24 Bureau of Land Management Eastern States (ES) Cultural and Paleontology Resource Management,DOI-BLM,Posted,2023-11-7,2024-2-6,53
L24AS00153,FY24 Bureau of Land Management Eastern States (ES) Invasive and Noxious Plant Management Program,DOI-BLM,Posted,2023-11-7,2024-2-6,54
PAR-24-062,Phased Research to Support Substance Use Epidemiology- Prevention- and Services Studies (R61/R33 Clinical Trials Optional),HHS-NIH11,Posted,2023-11-7,2026-11-13,55
LBN-PDS-FY24-AFCP,Ambassadors Fund for Cultural Preservation (AFCP) - Lebanon,DOS-LBN,Posted,2023-11-7,2024-4-25,56
P24AS00498,Round 7 Outdoor Recreation Legacy Partnership Program,DOI-NPS,Posted,2023-11-7,2024-4-30,57
DE-FOA-0003158,Buildings Energy Efficiency Frontiers & Innovation Technologies (BENEFIT) – 2024,DOE-GFO,Posted,2023-11-6,2024-3-5,58
NOAA-OAR-SG-2024-2007783,2023 Inflation Reduction Act Climate-Ready Workforce for Coastal States and Territories Competition,DOC-DOCNOAAERA,Posted,2023-11-6,2024-2-13,59
L24AS00050,FY24 IIJA/IRA Bureau of Land Management Headquarters (HQ) Aquatic Resource Management,DOI-BLM,Posted,2023-11-6,2024-1-19,60
