Opportunity Number,Opportunity Title,Agency,Opportunity Status,Posted Date,,Instrument Type,Category,Matching,Award Ceiling,Award Floor

72062424RFA00001,Community Health Equity Through Systems Strengthening (CHESS) Activity,USAID-WAF,Posted,11/13/2023,2099-01-01,Cooperative Agreement,Health,No,6023000,6023000

PAS-QAT-FY24-001,2024 Alumni Engagement Innovation Fund (AEIF 2024),DOS-QAT,Posted,11/13/2023,2099-01-01,Grant,"Arts (see ""Cultural Affairs"" in CFDA)
Education
Humanities (see ""Cultural Affairs"" in CFDA)",No,35000,5000

USDA-FS-2024-SGSF-MIT,FY23 Southern Area State Fire Capacity Hazard Mitigation,USDA-FS,Posted,11/13/2023,2099-01-01,Grant,Income Security and Social Services,Yes,300000,25000

PTS-SB-SYNP01,PTS-SB-SYNP01,IVV,Posted,11/13/2023,2099-01-01,Cooperative AgreementGrant,"Affordable Care Act
Agriculture
Arts (see ""Cultural Affairs"" in CFDA)
Business and Commerce
Community Development",No,10,1

72067424APS00001,Southern Africa Regional Investigative Journalism Activity � South Africa Addendum to the Justice Rights and Security APS,USAID-SAF,Posted,11/13/2023,2099-01-01,Cooperative Agreement,"Other (see text field entitled ""Explanation of Other Category of Funding Activity"" for clarification)",No,8000000,0

FAA-COE-AJFE,Center of Excellence for Alternative Jet Fuels and Environment,DOT-FAA-FAA COE-AJFE,Posted,11/13/2023,2099-01-01,Cooperative Agreement,"Energy
Environment
Science and Technology and other Research and Development",Yes,20000000,1

ND-NOFO-24-100,Better Understanding of American Policy for Established Opinion Leaders,DOS-IND,Posted,11/09/2023,2099-01-01,Cooperative Agreement,"Community Development
Regional Development",No,80000,48000

CPAIG-2024-NG,FY24 Cultural Property Agreement Implementation Grants,DOS-NGA,Posted,11/09/2023,2099-01-01,Grant,"Other (see text field entitled ""Explanation of Other Category of Funding Activity"" for clarification)",No,150000,10000

FA8650-24-S-5210,Lab-to-Orbit: Accelerating the Development and Testing of Materials for Low Earth Orbit,DOD-AFRL,Posted,11/09/2023,2099-01-01,Cooperative Agreement,Science and Technology and other Research and Development,Yes,8000000,4600000

HRSA-24-099,National AETC Support Center,HHS-HRSA,Posted,11/09/2023,2099-01-01,Cooperative Agreement,Health,No,0,0

DE-FOA-0003137,The purpose of this requisition is to initiate a Notice of Intent (NOI) for the 2023 Funding Opportunity Announcement (FOA) titled �WASTE: Waste Analysis and Strategies for Transportation End-uses� (DE-FOA-0003072).,DOE-GFO,Posted,11/09/2023,2099-01-01,Cooperative AgreementGrant,"Energy
Transportation",Yes,1,0

RFA-DC-24-005,Cooperative Agreement for In Vivo High-Resolution Imaging for Inner Ear Visualization (U01 Clinical Trial Required),HHS-NIH11,Posted,11/09/2023,2099-01-01,Cooperative Agreement,Health,No,500000,0

RFA-DC-24-004,In Vivo High-Resolution Imaging for Inner Ear Visualization (R01 Clinical Trial optional),HHS-NIH11,Posted,11/09/2023,2099-01-01,Grant,Health,No,500000,0

SFOP0010120,Supporting Critical Open-Source Technologies That Enable a Free and Open Internet,DOS,Posted,11/09/2023,2099-01-01,Cooperative AgreementGrant,"Other (see text field entitled ""Explanation of Other Category of Funding Activity"" for clarification)",No,1000000,500000

N0001424SF001,FY25 Defense University Research Instrumentation Program (DURIP),DOD-ONR,Posted,11/09/2023,2099-01-01,Grant,Science and Technology and other Research and Development,No,3000000,50000

DE-FOA-0003224,Inspiring Generations of New Innovators to Impact Technologies in Energy 2024 (IGNIITE 2024),DOE-ARPAE,Posted,11/09/2023,2099-01-01,Grant,"Opportunity Zone Benefits
Science and Technology and other Research and Development",No,500000,0

W911NF24S0001,THE DEPARTMENT OF DEFENSE (DoD) FISCAL YEAR 2025 DEFENSE UNIVERSITY RESEARCH INSTRUMENTATION PROGRAM (DURIP),DOD-AMC,Posted,11/09/2023,2099-01-01,Grant,Science and Technology and other Research and Development,No,3000000,50000

FOAAFRLAFOSR20240000,Fiscal Year 2025 Defense University Research Instrumentation Program (DURIP),DOD-AFOSR,Posted,11/09/2023,2099-01-01,Grant,Science and Technology and other Research and Development,No,3000000,50000

AFNGR-24-02,AMBASSADORS FUND FOR CULTURAL PRESERVATION(AFCP) 2024,DOS-NGA,Posted,11/09/2023,2099-01-01,Grant,"Other (see text field entitled ""Explanation of Other Category of Funding Activity"" for clarification)",No,500000,10000

DE-FOA-0003164,SPURRING PROJECTS TO ADVANCE ENERGY RESEARCH AND KNOWLEDGE SWIFTLY (SPARKS),DOE-ARPAE,Posted,11/09/2023,2099-01-01,Grant,"Opportunity Zone Benefits
Science and Technology and other Research and Development",Yes,500000,0

NGA-POLECON-GR-23-003-11092023,2024 Julia Taft Refugee Fund,DOS-NGA,Posted,11/09/2023,12/15/2023,Grant,"Other (see text field entitled ""Explanation of Other Category of Funding Activity"" for clarification)",No,25000,10000

72011524RFI00001,Request for Information (RFI) on USAID New Energy Activity in Central Asia,USAID-KAZ,Posted,11/08/2023,2099-01-01,Other,Energy,No,0,0

