72062424RFA00001,Community Health Equity Through Systems Strengthening (CHESS) Activity,USAID-WAF,Posted,2023-11-13,2023-12-07,Cooperative Agreement,Health,No,6023000,6023000
PAS-QAT-FY24-001,2024 Alumni Engagement Innovation Fund (AEIF 2024),DOS-QAT,Posted,2023-11-13,2024-01-15,Grant,"Arts (see ""Cultural Affairs"" in CFDA)
Education
Humanities (see ""Cultural Affairs"" in CFDA)",No,35000,5000
USDA-FS-2024-SGSF-MIT,FY23 Southern Area State Fire Capacity Hazard Mitigation,USDA-FS,Posted,2023-11-13,2024-01-15,Grant,Income Security and Social Services,Yes,300000,25000
PTS-SB-SYNP01,PTS-SB-SYNP01,IVV,Posted,2023-11-13,2030-11-30,"Cooperative Agreement, Grant","Affordable Care Act
Agriculture
Arts (see ""Cultural Affairs"" in CFDA)
Business and Commerce
Community Development",No,10,1
72067424APS00001,Southern Africa Regional Investigative Journalism Activity � South Africa Addendum to the Justice Rights and Security APS,USAID-SAF,Posted,2023-11-13,2023-12-18,Cooperative Agreement,"Other (see text field entitled ""Explanation of Other Category of Funding Activity"" for clarification)",No,8000000,0
FAA-COE-AJFE,Center of Excellence for Alternative Jet Fuels and Environment,DOT-FAA-FAA COE-AJFE,Posted,2023-11-13,2024-09-30,Cooperative Agreement,"Energy
Environment
Science and Technology and other Research and Development",Yes,20000000,1
ND-NOFO-24-100,Better Understanding of American Policy for Established Opinion Leaders,DOS-IND,Posted,2023-11-09,2024-01-10,Cooperative Agreement,"Community Development
Regional Development",No,80000,48000
CPAIG-2024-NG,FY24 Cultural Property Agreement Implementation Grants,DOS-NGA,Posted,2023-11-09,2024-01-11,Grant,"Other (see text field entitled ""Explanation of Other Category of Funding Activity"" for clarification)",No,150000,10000
FA8650-24-S-5210,Lab-to-Orbit: Accelerating the Development and Testing of Materials for Low Earth Orbit,DOD-AFRL,Posted,2023-11-09,2023-12-20,Cooperative Agreement,Science and Technology and other Research and Development,Yes,8000000,4600000
HRSA-24-099,National AETC Support Center,HHS-HRSA,Posted,2023-11-09,2024-02-07,Cooperative Agreement,Health,No,0,0
